NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables.
Annual Tide Predictions
StationName: Seattle 
State: WA 
Stationid: 9447130
Prediction Type: Harmonic
From: 20190101 02:20 - 20191231 19:53
Units: Feet and Centimeters
Time Zone: LST_LDT
Datum: MLLW
Interval Type: High/Low

Date 		Day	Time	Pred(Ft)	Pred(cm)	High/Low
2019/01/01	Tue	02:20	9.30		283			H
2019/01/01	Tue	07:03	6.25		190			L
2019/01/01	Tue	12:53	11.89		362			H
2019/01/01	Tue	20:06	0.06		2			L
2019/01/02	Wed	03:31	10.33		315			H
2019/01/02	Wed	08:18	7.00		213			L
2019/01/02	Wed	13:35	11.57		353			H
2019/01/02	Wed	20:47	-0.68		-21			L
2019/01/03	Thu	04:26	11.19		341			H
2019/01/03	Thu	09:22	7.39		225			L
2019/01/03	Thu	14:15	11.24		343			H
2019/01/03	Thu	21:24	-1.14		-35			L
2019/01/04	Fri	05:10	11.76		358			H
2019/01/04	Fri	10:16	7.57		231			L
2019/01/04	Fri	14:54	10.92		333			H
2019/01/04	Fri	21:59	-1.36		-41			L
2019/01/05	Sat	05:46	12.07		368			H
2019/01/05	Sat	11:02	7.60		232			L
2019/01/05	Sat	15:32	10.61		323			H
2019/01/05	Sat	22:34	-1.40		-43			L
2019/01/06	Sun	06:17	12.18		371			H
2019/01/06	Sun	11:43	7.52		229			L
2019/01/06	Sun	16:10	10.32		315			H
2019/01/06	Sun	23:08	-1.28		-39			L
2019/01/07	Mon	06:45	12.20		372			H
2019/01/07	Mon	12:20	7.35		224			L
2019/01/07	Mon	16:49	10.02		305			H
2019/01/07	Mon	23:44	-1.02		-31			L
2019/01/08	Tue	07:11	12.19		372			H
2019/01/08	Tue	12:57	7.08		216			L
2019/01/08	Tue	17:31	9.69		295			H
2019/01/09	Wed	00:20	-0.61		-19			L
2019/01/09	Wed	07:39	12.17		371			H
2019/01/09	Wed	13:34	6.71		205			L
2019/01/09	Wed	18:14	9.30		283			H
2019/01/10	Thu	00:57	0.00		0			L
2019/01/10	Thu	08:10	12.14		370			H
2019/01/10	Thu	14:15	6.25		190			L
2019/01/10	Thu	19:02	8.85		270			H
2019/01/11	Fri	01:35	0.84		26			L
2019/01/11	Fri	08:44	12.07		368			H
2019/01/11	Fri	15:00	5.68		173			L
2019/01/11	Fri	19:56	8.35		255			H
2019/01/12	Sat	02:14	1.91		58			L
2019/01/12	Sat	09:19	11.95		364			H
2019/01/12	Sat	15:49	4.98		152			L
2019/01/12	Sat	21:01	7.91		241			H
